"Product Page","Scheda prodotto"
"Ecological / eco-friendly choice","Scelta ecologica / eco-friendly"
"Easy to Use","Facilità d'uso"
"Go Back","Torna Indietro"
"Show more","Mostra di più"
"Show less","Mostra di meno"
"See Product Details","Vedi dettagli prodotto"
"Learn More Info","Approfondisci"
"Proceed to Checkout","Vai alla cassa"
"You have no items in your shopping cart.","Ops, il tuo carrello è vuoto!"
"I have a discount code","Ho il codice sconto"
"Continue without registration","Continua senza accedere"
"Register","Registrati"
"Summary","Riepilogo"
"Customer Care","Assistenza clienti"
"For More information click here","Per maggiori informazioni clicca qui"
"Review & Payments","Pagamento"
"Tax included","iva inclusa"
"Filters","Filtri"
"Your Balance","Il tuo saldo"
"Specs","Specifiche"
"Feature","Specifiche tecniche"
"See product details","Vedi dettagli prodotto"
"Services","Servizi"
"View order details","Vedi dettaglio ordine"
"In stock for pick and pay","Disponibile prenota e ritira"
"Out of stock for pick and pay","Non disponibile prenota e ritira"
"Product View","Scheda prodotto"
"Search...","Cerca..."
"Enter Keyword","Cerca..."
"Sign up and take advantage of our OPENING DISCOUNT -30%","Iscriviti ed approfitta del nostro SCONTO DI APERTURA -30%."
"Be the first to discover Andronico news and offers!","Scopri prima degli altri le novità e le offerte di Andronico!"
"I have read and accept the Privacy Policy","Ho letto e accetto l'Informativa sulla privacy"
"Ok ","Rimuovi"
"You submitted your review for moderation. ","Grazie per la tua recensione. È importante per noi la tua opinione e utile per gli altri utenti. Sarà pubblicata a breve, dopo un controllo di correttezza alle regole di netiquette Andronico.it"
"By proceeding with the order you confirm that you have read and accept the General conditions of Sale","Procedendo con l’ordine confermi di aver letto ed di accettare le condizioni generali di vendita"
"See","vedi"
"Additional Address","Indirizzo aggiuntivo"
"Date of birth","Data di nascita"
"Yes","Si"
"We ship with","Spediamo con"
"Payment methods","Metodi di pagamento"
"All Categories","Tutte le categorie"
"Add to Cart","Aggiungi al carrello"
"Out of stock","Tornerà disponibile a breve"
"Out of Stock","Tornerà disponibile a breve"
"Out of stocks","Tornerà disponibile a breve"
"Delivery Address","Indirizzo di Spedizione"
"Shippings","Ricevi con il corriere"
"Pick in Stores","Ritira in uno dei nostri store"
"Card Value in","Valore della Gift Card"
"Enter Recipient Name","Nome e cognome"
"Enter Recipient Email","Email"
"Preview Gift Card","Anteprima della Gift Card"
"The gift card code couldn't be added. Verify your information and try again.","Non è stato possibile aggiungere il codice della Gift Card. Verificare le informazioni e riprovare."
"Enter your Code","Inserisci il codice della Gift Card"
"Add Code","Aggiungi all'account"
"Check Status","Verifica lo stato"
"You have no active Gift Card Codes added to your customer account.","Non hai Gift Card associate nel tuo account"
"Apple Phone Inquiry Form","Richiesta di prenotazione iPhone Apple"
"Which model do you prefer?","Quale modello preferisci?"
"Thank for your email. We will get back to you soon.","Grazie per la tua email. Ti risponderemo presto."
"Surname","Cognome"
"Mobile Number","Cellulare"
"Please login or register as a customer to add Gift Card Codes to your customer account and display here.","Effettuare il login o registrarsi come cliente per aggiungere le Gift Card al proprio account e visualizzarle qui."
"Favorite day","Giorno preferito"
"Preferred time","Ora preferita"
"Receipt","Ricevuta"
"Invoice","Fattura"
"It will take only a few minutes, just click the 'Leave a review' button below.","Ci vorranno solo pochi minuti, basta cliccare il pulsante 'Lascia una recensione' qui sotto."
"Leave a review","Lascia una recensione"
"Get a free remote consultation","Ottieni una consulenza a distanza gratuita"
